semantic_id,native_symbol,go_equivalent,rust_api_plan,phase,disposition,prerequisites,adaptation,baseline_evidence,rust_test_id,status
native:C:global:rados_aio_append:49690c9c0c0e,rados_aio_append,rados.ObjectRef mutation methods,Rust equivalent of rados.ObjectRef mutation methods; exact signature frozen in R02/owning phase,R08,port-behavior,completion of prior phases; see SPEC.md,"Context-aware methods and OpResult replace native completion and callback forms; async Rust ownership and typed results, not C ABI","reference/go/docs/p00/api-inventory.csv; P07 context, result, and live mutation tests",R08:native:C:global:rados_aio_append:49690c9c0c0e,implemented-r08
native:C:global:rados_aio_cancel:5280d94f8e90,rados_aio_cancel,"context.Context, operation results, and rados.Client.Flush","Rust equivalent of context.Context, operation results, and rados.Client.Flush; exact signature frozen in R02/owning phase",R08,port-behavior,completion of prior phases; see SPEC.md,"Go context, direct results, and flush semantics replace native completions, callbacks, and last-version state; async Rust ownership and typed results, not C ABI","reference/go/docs/p00/api-inventory.csv; P07 context, completion, result, and flush tests",R08:native:C:global:rados_aio_cancel:5280d94f8e90,implemented-r08
native:C:global:rados_aio_cmpext:48107fc10c39,rados_aio_cmpext,rados.ReadOp / rados.WriteOp,Rust equivalent of rados.ReadOp / rados.WriteOp; exact signature frozen in R02/owning phase,R09,port-behavior,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics; async Rust ownership and typed results, not C ABI","reference/go/docs/p00/api-inventory.csv; P08 unit and live metadata, compound, enumeration, and map-change tests",R09:native:C:global:rados_aio_cmpext:48107fc10c39,implemented-r09
native:C:global:rados_aio_create_completion:ba1fbf2204fa,rados_aio_create_completion,"context.Context, operation results, and rados.Client.Flush","Rust equivalent of context.Context, operation results, and rados.Client.Flush; exact signature frozen in R02/owning phase",R08,port-behavior,completion of prior phases; see SPEC.md,"Go context, direct results, and flush semantics replace native completions, callbacks, and last-version state; async Rust ownership and typed results, not C ABI","reference/go/docs/p00/api-inventory.csv; P07 context, completion, result, and flush tests",R08:native:C:global:rados_aio_create_completion:ba1fbf2204fa,implemented-r08
native:C:global:rados_aio_create_completion2:dad70a54ab49,rados_aio_create_completion2,"context.Context, operation results, and rados.Client.Flush","Rust equivalent of context.Context, operation results, and rados.Client.Flush; exact signature frozen in R02/owning phase",R08,port-behavior,completion of prior phases; see SPEC.md,"Go context, direct results, and flush semantics replace native completions, callbacks, and last-version state; async Rust ownership and typed results, not C ABI","reference/go/docs/p00/api-inventory.csv; P07 context, completion, result, and flush tests",R08:native:C:global:rados_aio_create_completion2:dad70a54ab49,implemented-r08
native:C:global:rados_aio_exec:3af2bf1dae48,rados_aio_exec,rados class execution methods,Rust equivalent of rados class execution methods; exact signature frozen in R02/owning phase,R10,port-behavior,completion of prior phases; see SPEC.md,"Unified context-aware Go calls preserve native semantics and use Go-owned results; async Rust ownership and typed results, not C ABI",reference/go/docs/p00/api-inventory.csv; P09 unit and live class/lock/watch interoperability tests,R10:native:C:global:rados_aio_exec:3af2bf1dae48,implemented-r10
native:C:global:rados_aio_flush:d78e22db21be,rados_aio_flush,rados.Client.Flush,Rust equivalent of rados.Client.Flush; exact signature frozen in R02/owning phase,R08,port-behavior,replicated pools on certified Ceph 20.2.4,"Watermark-based context-aware drain; no public C completion allocation; async Rust ownership and typed results, not C ABI",reference/go/docs/p00/api-inventory.csv; P07 mutation/flush unit and live-cluster tests,R08:native:C:global:rados_aio_flush:d78e22db21be,implemented-r08
native:C:global:rados_aio_flush_async:85d6e87fda48,rados_aio_flush_async,rados.Client.Flush,Rust equivalent of rados.Client.Flush; exact signature frozen in R02/owning phase,R08,port-behavior,replicated pools on certified Ceph 20.2.4,"Unified context-aware drain; no callback completion allocation; async Rust ownership and typed results, not C ABI",reference/go/docs/p00/api-inventory.csv; P07 mutation/flush unit and live-cluster tests,R08:native:C:global:rados_aio_flush_async:85d6e87fda48,implemented-r08
native:C:global:rados_aio_get_return_value:aad2edadfc0f,rados_aio_get_return_value,"context.Context, operation results, and rados.Client.Flush","Rust equivalent of context.Context, operation results, and rados.Client.Flush; exact signature frozen in R02/owning phase",R08,port-behavior,completion of prior phases; see SPEC.md,"Go context, direct results, and flush semantics replace native completions, callbacks, and last-version state; async Rust ownership and typed results, not C ABI","reference/go/docs/p00/api-inventory.csv; P07 context, completion, result, and flush tests",R08:native:C:global:rados_aio_get_return_value:aad2edadfc0f,implemented-r08
native:C:global:rados_aio_get_version:4e148db6a38e,rados_aio_get_version,"context.Context, operation results, and rados.Client.Flush","Rust equivalent of context.Context, operation results, and rados.Client.Flush; exact signature frozen in R02/owning phase",R08,port-behavior,completion of prior phases; see SPEC.md,"Go context, direct results, and flush semantics replace native completions, callbacks, and last-version state; async Rust ownership and typed results, not C ABI","reference/go/docs/p00/api-inventory.csv; P07 context, completion, result, and flush tests",R08:native:C:global:rados_aio_get_version:4e148db6a38e,implemented-r08
native:C:global:rados_aio_getxattr:cc37ca77c4c1,rados_aio_getxattr,rados metadata methods / operation builders,Rust equivalent of rados metadata methods / operation builders; exact signature frozen in R02/owning phase,R09,port-behavior,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics; async Rust ownership and typed results, not C ABI","reference/go/docs/p00/api-inventory.csv; P08 unit and live metadata, compound, enumeration, and map-change tests",R09:native:C:global:rados_aio_getxattr:cc37ca77c4c1,implemented-r09
native:C:global:rados_aio_getxattrs:94423d4c8cdf,rados_aio_getxattrs,rados metadata methods / operation builders,Rust equivalent of rados metadata methods / operation builders; exact signature frozen in R02/owning phase,R09,port-behavior,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics; async Rust ownership and typed results, not C ABI","reference/go/docs/p00/api-inventory.csv; P08 unit and live metadata, compound, enumeration, and map-change tests",R09:native:C:global:rados_aio_getxattrs:94423d4c8cdf,implemented-r09
native:C:global:rados_aio_ioctx_selfmanaged_snap_create:55afdfeaeb8b,rados_aio_ioctx_selfmanaged_snap_create,rados snapshot methods and immutable snapshot views,Rust equivalent of rados snapshot methods and immutable snapshot views; exact signature frozen in R02/owning phase,R11,port-behavior,completion of prior phases; see SPEC.md,"Context-aware Go calls and Go-owned results replace native completion and buffer lifetimes; async Rust ownership and typed results, not C ABI","reference/go/docs/p00/api-inventory.csv; P10 context, ownership, and live snapshot and EC tests",R11:native:C:global:rados_aio_ioctx_selfmanaged_snap_create:55afdfeaeb8b,implemented-r11
native:C:global:rados_aio_ioctx_selfmanaged_snap_remove:43a5514e7b01,rados_aio_ioctx_selfmanaged_snap_remove,rados snapshot methods and immutable snapshot views,Rust equivalent of rados snapshot methods and immutable snapshot views; exact signature frozen in R02/owning phase,R11,port-behavior,completion of prior phases; see SPEC.md,"Context-aware Go calls and Go-owned results replace native completion and buffer lifetimes; async Rust ownership and typed results, not C ABI","reference/go/docs/p00/api-inventory.csv; P10 context, ownership, and live snapshot and EC tests",R11:native:C:global:rados_aio_ioctx_selfmanaged_snap_remove:43a5514e7b01,implemented-r11
native:C:global:rados_aio_is_complete:75e944ec8d9b,rados_aio_is_complete,"context.Context, operation results, and rados.Client.Flush","Rust equivalent of context.Context, operation results, and rados.Client.Flush; exact signature frozen in R02/owning phase",R08,port-behavior,completion of prior phases; see SPEC.md,"Go context, direct results, and flush semantics replace native completions, callbacks, and last-version state; async Rust ownership and typed results, not C ABI","reference/go/docs/p00/api-inventory.csv; P07 context, completion, result, and flush tests",R08:native:C:global:rados_aio_is_complete:75e944ec8d9b,implemented-r08
native:C:global:rados_aio_is_complete_and_cb:dc6d163c1dcb,rados_aio_is_complete_and_cb,"context.Context, operation results, and rados.Client.Flush","Rust equivalent of context.Context, operation results, and rados.Client.Flush; exact signature frozen in R02/owning phase",R08,port-behavior,completion of prior phases; see SPEC.md,"Go context, direct results, and flush semantics replace native completions, callbacks, and last-version state; async Rust ownership and typed results, not C ABI","reference/go/docs/p00/api-inventory.csv; P07 context, completion, result, and flush tests",R08:native:C:global:rados_aio_is_complete_and_cb:dc6d163c1dcb,implemented-r08
native:C:global:rados_aio_is_safe:257827d7c704,rados_aio_is_safe,"context.Context, operation results, and rados.Client.Flush","Rust equivalent of context.Context, operation results, and rados.Client.Flush; exact signature frozen in R02/owning phase",R08,port-behavior,completion of prior phases; see SPEC.md,"Go context, direct results, and flush semantics replace native completions, callbacks, and last-version state; async Rust ownership and typed results, not C ABI","reference/go/docs/p00/api-inventory.csv; P07 context, completion, result, and flush tests",R08:native:C:global:rados_aio_is_safe:257827d7c704,implemented-r08
native:C:global:rados_aio_is_safe_and_cb:e3b127a99d2a,rados_aio_is_safe_and_cb,"context.Context, operation results, and rados.Client.Flush","Rust equivalent of context.Context, operation results, and rados.Client.Flush; exact signature frozen in R02/owning phase",R08,port-behavior,completion of prior phases; see SPEC.md,"Go context, direct results, and flush semantics replace native completions, callbacks, and last-version state; async Rust ownership and typed results, not C ABI","reference/go/docs/p00/api-inventory.csv; P07 context, completion, result, and flush tests",R08:native:C:global:rados_aio_is_safe_and_cb:e3b127a99d2a,implemented-r08
native:C:global:rados_aio_notify:cd2e55d10ad2,rados_aio_notify,rados.Watch and notify methods,Rust equivalent of rados.Watch and notify methods; exact signature frozen in R02/owning phase,R10,port-behavior,completion of prior phases; see SPEC.md,"Unified context-aware Go calls preserve native semantics and use Go-owned results; async Rust ownership and typed results, not C ABI",reference/go/docs/p00/api-inventory.csv; P09 unit and live watch/notify interoperability tests,R10:native:C:global:rados_aio_notify:cd2e55d10ad2,implemented-r10
native:C:global:rados_aio_read:369b714b399d,rados_aio_read,rados.ObjectRef.Read / rados.ObjectRef.Stat,Rust equivalent of rados.ObjectRef.Read / rados.ObjectRef.Stat; exact signature frozen in R02/owning phase,R07,port-behavior,completion of prior phases; see SPEC.md,"Context-aware methods and Go-owned results replace native completion and output buffers; async Rust ownership and typed results, not C ABI","reference/go/docs/p00/api-inventory.csv; P06 context, ownership, and live read/stat tests",R07:native:C:global:rados_aio_read:369b714b399d,implemented-r07
native:C:global:rados_aio_read_op_operate:350fdb4deae1,rados_aio_read_op_operate,rados.ReadOp / rados.WriteOp,Rust equivalent of rados.ReadOp / rados.WriteOp; exact signature frozen in R02/owning phase,R09,port-behavior,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics; async Rust ownership and typed results, not C ABI","reference/go/docs/p00/api-inventory.csv; P08 unit and live metadata, compound, enumeration, and map-change tests",R09:native:C:global:rados_aio_read_op_operate:350fdb4deae1,implemented-r09
native:C:global:rados_aio_release:69358eaaeff7,rados_aio_release,"context.Context, operation results, and rados.Client.Flush","Rust equivalent of context.Context, operation results, and rados.Client.Flush; exact signature frozen in R02/owning phase",R08,port-behavior,completion of prior phases; see SPEC.md,"Go context, direct results, and flush semantics replace native completions, callbacks, and last-version state; async Rust ownership and typed results, not C ABI","reference/go/docs/p00/api-inventory.csv; P07 context, completion, result, and flush tests",R08:native:C:global:rados_aio_release:69358eaaeff7,implemented-r08
native:C:global:rados_aio_remove:7bcca7469fdd,rados_aio_remove,rados.ObjectRef mutation methods,Rust equivalent of rados.ObjectRef mutation methods; exact signature frozen in R02/owning phase,R08,port-behavior,completion of prior phases; see SPEC.md,"Context-aware methods and OpResult replace native completion and callback forms; async Rust ownership and typed results, not C ABI","reference/go/docs/p00/api-inventory.csv; P07 context, result, and live mutation tests",R08:native:C:global:rados_aio_remove:7bcca7469fdd,implemented-r08
native:C:global:rados_aio_rmxattr:c5d5f709dc15,rados_aio_rmxattr,rados metadata methods / operation builders,Rust equivalent of rados metadata methods / operation builders; exact signature frozen in R02/owning phase,R09,port-behavior,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics; async Rust ownership and typed results, not C ABI","reference/go/docs/p00/api-inventory.csv; P08 unit and live metadata, compound, enumeration, and map-change tests",R09:native:C:global:rados_aio_rmxattr:c5d5f709dc15,implemented-r09
native:C:global:rados_aio_setxattr:28aac61800fa,rados_aio_setxattr,rados metadata methods / operation builders,Rust equivalent of rados metadata methods / operation builders; exact signature frozen in R02/owning phase,R09,port-behavior,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics; async Rust ownership and typed results, not C ABI","reference/go/docs/p00/api-inventory.csv; P08 unit and live metadata, compound, enumeration, and map-change tests",R09:native:C:global:rados_aio_setxattr:28aac61800fa,implemented-r09
native:C:global:rados_aio_stat:c47090d59f22,rados_aio_stat,rados.ObjectRef.Read / rados.ObjectRef.Stat,Rust equivalent of rados.ObjectRef.Read / rados.ObjectRef.Stat; exact signature frozen in R02/owning phase,R07,port-behavior,completion of prior phases; see SPEC.md,"Context-aware methods and Go-owned results replace native completion and output buffers; async Rust ownership and typed results, not C ABI","reference/go/docs/p00/api-inventory.csv; P06 context, ownership, and live read/stat tests",R07:native:C:global:rados_aio_stat:c47090d59f22,implemented-r07
native:C:global:rados_aio_stat2:ef33ebe5404b,rados_aio_stat2,rados.ObjectRef.Read / rados.ObjectRef.Stat,Rust equivalent of rados.ObjectRef.Read / rados.ObjectRef.Stat; exact signature frozen in R02/owning phase,R07,port-behavior,completion of prior phases; see SPEC.md,"Context-aware methods and Go-owned results replace native completion and output buffers; async Rust ownership and typed results, not C ABI","reference/go/docs/p00/api-inventory.csv; P06 context, ownership, and live read/stat tests",R07:native:C:global:rados_aio_stat2:ef33ebe5404b,implemented-r07
native:C:global:rados_aio_unlock:50fe87821500,rados_aio_unlock,rados lock methods,Rust equivalent of rados lock methods; exact signature frozen in R02/owning phase,R10,port-behavior,completion of prior phases; see SPEC.md,"Unified context-aware Go calls preserve native semantics and use Go-owned results; async Rust ownership and typed results, not C ABI",reference/go/docs/p00/api-inventory.csv; P09 unit and live lock interoperability tests,R10:native:C:global:rados_aio_unlock:50fe87821500,implemented-r10
native:C:global:rados_aio_unwatch:4a1c2111707c,rados_aio_unwatch,rados.Watch and notify methods,Rust equivalent of rados.Watch and notify methods; exact signature frozen in R02/owning phase,R10,port-behavior,completion of prior phases; see SPEC.md,"Unified context-aware Go calls preserve native semantics and use Go-owned results; async Rust ownership and typed results, not C ABI",reference/go/docs/p00/api-inventory.csv; P09 unit and live watch/notify interoperability tests,R10:native:C:global:rados_aio_unwatch:4a1c2111707c,implemented-r10
native:C:global:rados_aio_wait_for_complete:971b1d0d9ace,rados_aio_wait_for_complete,"context.Context, operation results, and rados.Client.Flush","Rust equivalent of context.Context, operation results, and rados.Client.Flush; exact signature frozen in R02/owning phase",R08,port-behavior,completion of prior phases; see SPEC.md,"Go context, direct results, and flush semantics replace native completions, callbacks, and last-version state; async Rust ownership and typed results, not C ABI","reference/go/docs/p00/api-inventory.csv; P07 context, completion, result, and flush tests",R08:native:C:global:rados_aio_wait_for_complete:971b1d0d9ace,implemented-r08
native:C:global:rados_aio_wait_for_complete_and_cb:cc7bf4c33c0c,rados_aio_wait_for_complete_and_cb,"context.Context, operation results, and rados.Client.Flush","Rust equivalent of context.Context, operation results, and rados.Client.Flush; exact signature frozen in R02/owning phase",R08,port-behavior,completion of prior phases; see SPEC.md,"Go context, direct results, and flush semantics replace native completions, callbacks, and last-version state; async Rust ownership and typed results, not C ABI","reference/go/docs/p00/api-inventory.csv; P07 context, completion, result, and flush tests",R08:native:C:global:rados_aio_wait_for_complete_and_cb:cc7bf4c33c0c,implemented-r08
native:C:global:rados_aio_wait_for_safe:a25cd6968bd1,rados_aio_wait_for_safe,none,Rust equivalent of none; exact signature frozen in R02/owning phase,R12,port-behavior,completion of prior phases; see SPEC.md,"No deprecated compatibility alias in the initial Go API; async Rust ownership and typed results, not C ABI",reference/go/docs/p00/api-inventory.csv; inventory review; no runtime conformance claim,R12:native:C:global:rados_aio_wait_for_safe:a25cd6968bd1,intentional-omission-r12
native:C:global:rados_aio_wait_for_safe_and_cb:636615526c9a,rados_aio_wait_for_safe_and_cb,none,Rust equivalent of none; exact signature frozen in R02/owning phase,R12,port-behavior,completion of prior phases; see SPEC.md,"No deprecated compatibility alias in the initial Go API; async Rust ownership and typed results, not C ABI",reference/go/docs/p00/api-inventory.csv; inventory review; no runtime conformance claim,R12:native:C:global:rados_aio_wait_for_safe_and_cb:636615526c9a,intentional-omission-r12
native:C:global:rados_aio_watch:70bd8489f4a0,rados_aio_watch,rados.Watch and notify methods,Rust equivalent of rados.Watch and notify methods; exact signature frozen in R02/owning phase,R10,port-behavior,completion of prior phases; see SPEC.md,"Unified context-aware Go calls preserve native semantics and use Go-owned results; async Rust ownership and typed results, not C ABI",reference/go/docs/p00/api-inventory.csv; P09 unit and live watch/notify interoperability tests,R10:native:C:global:rados_aio_watch:70bd8489f4a0,implemented-r10
native:C:global:rados_aio_watch2:e8ed4f0681b0,rados_aio_watch2,rados.Watch and notify methods,Rust equivalent of rados.Watch and notify methods; exact signature frozen in R02/owning phase,R10,port-behavior,completion of prior phases; see SPEC.md,"Unified context-aware Go calls preserve native semantics and use Go-owned results; async Rust ownership and typed results, not C ABI",reference/go/docs/p00/api-inventory.csv; P09 unit and live watch/notify interoperability tests,R10:native:C:global:rados_aio_watch2:e8ed4f0681b0,implemented-r10
native:C:global:rados_aio_watch_flush:86cb6a6545ca,rados_aio_watch_flush,rados.Watch and notify methods,Rust equivalent of rados.Watch and notify methods; exact signature frozen in R02/owning phase,R10,port-behavior,completion of prior phases; see SPEC.md,"Watch draining and notify reply memory ownership are integrated into Go lifecycle and result semantics; async Rust ownership and typed results, not C ABI",reference/go/docs/p00/api-inventory.csv; P09 unit and live watch/notify interoperability tests,R10:native:C:global:rados_aio_watch_flush:86cb6a6545ca,implemented-r10
native:C:global:rados_aio_write:b35f6f83dcfd,rados_aio_write,rados.ObjectRef mutation methods,Rust equivalent of rados.ObjectRef mutation methods; exact signature frozen in R02/owning phase,R08,port-behavior,completion of prior phases; see SPEC.md,"Context-aware methods and OpResult replace native completion and callback forms; async Rust ownership and typed results, not C ABI","reference/go/docs/p00/api-inventory.csv; P07 context, result, and live mutation tests",R08:native:C:global:rados_aio_write:b35f6f83dcfd,implemented-r08
native:C:global:rados_aio_write_full:b5128039b2fe,rados_aio_write_full,rados.ObjectRef mutation methods,Rust equivalent of rados.ObjectRef mutation methods; exact signature frozen in R02/owning phase,R08,port-behavior,completion of prior phases; see SPEC.md,"Context-aware methods and OpResult replace native completion and callback forms; async Rust ownership and typed results, not C ABI","reference/go/docs/p00/api-inventory.csv; P07 context, result, and live mutation tests",R08:native:C:global:rados_aio_write_full:b5128039b2fe,implemented-r08
native:C:global:rados_aio_write_op_operate:16e6051ccacf,rados_aio_write_op_operate,rados.ReadOp / rados.WriteOp,Rust equivalent of rados.ReadOp / rados.WriteOp; exact signature frozen in R02/owning phase,R09,port-behavior,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics; async Rust ownership and typed results, not C ABI","reference/go/docs/p00/api-inventory.csv; P08 unit and live metadata, compound, enumeration, and map-change tests",R09:native:C:global:rados_aio_write_op_operate:16e6051ccacf,implemented-r09
native:C:global:rados_aio_write_op_operate2:04006a49a73f,rados_aio_write_op_operate2,rados.ReadOp / rados.WriteOp,Rust equivalent of rados.ReadOp / rados.WriteOp; exact signature frozen in R02/owning phase,R09,port-behavior,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics; async Rust ownership and typed results, not C ABI","reference/go/docs/p00/api-inventory.csv; P08 unit and live metadata, compound, enumeration, and map-change tests",R09:native:C:global:rados_aio_write_op_operate2:04006a49a73f,implemented-r09
native:C:global:rados_aio_writesame:80c87e918d8b,rados_aio_writesame,rados specialized object methods,Rust equivalent of rados specialized object methods; exact signature frozen in R02/owning phase,R11,port-behavior,completion of prior phases; see SPEC.md,"Context-aware Go calls and Go-owned results replace native completion and buffer lifetimes; async Rust ownership and typed results, not C ABI","reference/go/docs/p00/api-inventory.csv; P10 context, ownership, and live specialized object tests",R11:native:C:global:rados_aio_writesame:80c87e918d8b,implemented-r11
native:C:global:rados_append:bf67023825ca,rados_append,rados.ObjectRef.Append,Rust equivalent of rados.ObjectRef.Append; exact signature frozen in R02/owning phase,R08,port-behavior,replicated pools on certified Ceph 20.2.4,"Returns OpResult version; ambiguity is surfaced as outcome unknown; async Rust ownership and typed results, not C ABI",reference/go/docs/p00/api-inventory.csv; P07 native/Go CRUD and primary-remap append-once tests,R08:native:C:global:rados_append:bf67023825ca,implemented-r08
native:C:global:rados_application_enable:e9265d337ab9,rados_application_enable,rados.Client administrative methods,Rust equivalent of rados.Client administrative methods; exact signature frozen in R02/owning phase,R12,port-behavior,completion of prior phases; see SPEC.md,"Context-aware Go values preserve native semantics with Go-owned command and metadata results; async Rust ownership and typed results, not C ABI",reference/go/docs/p00/api-inventory.csv; P11 unit and live administrative interoperability tests,R12:native:C:global:rados_application_enable:e9265d337ab9,implemented-r12
native:C:global:rados_application_list:c0e6bceb5666,rados_application_list,rados.Client administrative methods,Rust equivalent of rados.Client administrative methods; exact signature frozen in R02/owning phase,R12,port-behavior,completion of prior phases; see SPEC.md,"Context-aware Go values preserve native semantics with Go-owned command and metadata results; async Rust ownership and typed results, not C ABI",reference/go/docs/p00/api-inventory.csv; P11 unit and live administrative interoperability tests,R12:native:C:global:rados_application_list:c0e6bceb5666,implemented-r12
