language,owner,source_symbol,source_signature,go_equivalent,disposition,phase,prerequisites,semantic_difference,conformance_test
C,global,rados_aio_append,"CEPH_RADOS_API int rados_aio_append(rados_ioctx_t io, const char *oid, rados_completion_t completion, const char *buf, size_t len);",rados.ObjectRef mutation methods,go-native,P07,completion of prior phases; see SPEC.md,Context-aware methods and OpResult replace native completion and callback forms,"P07 context, result, and live mutation tests"
C,global,rados_aio_cancel,"CEPH_RADOS_API int rados_aio_cancel(rados_ioctx_t io, rados_completion_t completion);","context.Context, operation results, and rados.Client.Flush",go-native,P07,completion of prior phases; see SPEC.md,"Go context, direct results, and flush semantics replace native completions, callbacks, and last-version state","P07 context, completion, result, and flush tests"
C,global,rados_aio_cmpext,"CEPH_RADOS_API int rados_aio_cmpext(rados_ioctx_t io, const char *o, rados_completion_t completion, const char *cmp_buf, size_t cmp_len, uint64_t off);",rados.ReadOp / rados.WriteOp,implemented,P08,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics","P08 unit and live metadata, compound, enumeration, and map-change tests"
C,global,rados_aio_create_completion,"CEPH_RADOS_API int rados_aio_create_completion(void *cb_arg, rados_callback_t cb_complete, rados_callback_t cb_safe, rados_completion_t *pc);","context.Context, operation results, and rados.Client.Flush",go-native,P07,completion of prior phases; see SPEC.md,"Go context, direct results, and flush semantics replace native completions, callbacks, and last-version state","P07 context, completion, result, and flush tests"
C,global,rados_aio_create_completion2,"CEPH_RADOS_API int rados_aio_create_completion2(void *cb_arg, rados_callback_t cb_complete, rados_completion_t *pc);","context.Context, operation results, and rados.Client.Flush",go-native,P07,completion of prior phases; see SPEC.md,"Go context, direct results, and flush semantics replace native completions, callbacks, and last-version state","P07 context, completion, result, and flush tests"
C,global,rados_aio_exec,"CEPH_RADOS_API int rados_aio_exec(rados_ioctx_t io, const char *o, rados_completion_t completion, const char *cls, const char *method, const char *in_buf, size_t in_len, char *buf, size_t out_len);",rados class execution methods,implemented,P09,completion of prior phases; see SPEC.md,Unified context-aware Go calls preserve native semantics and use Go-owned results,P09 unit and live class/lock/watch interoperability tests
C,global,rados_aio_flush,CEPH_RADOS_API int rados_aio_flush(rados_ioctx_t io);,rados.Client.Flush,implemented,P07,replicated pools on certified Ceph 20.2.4,Watermark-based context-aware drain; no public C completion allocation,P07 mutation/flush unit and live-cluster tests
C,global,rados_aio_flush_async,"CEPH_RADOS_API int rados_aio_flush_async(rados_ioctx_t io, rados_completion_t completion);",rados.Client.Flush,implemented,P07,replicated pools on certified Ceph 20.2.4,Unified context-aware drain; no callback completion allocation,P07 mutation/flush unit and live-cluster tests
C,global,rados_aio_get_return_value,CEPH_RADOS_API int rados_aio_get_return_value(rados_completion_t c);,"context.Context, operation results, and rados.Client.Flush",go-native,P07,completion of prior phases; see SPEC.md,"Go context, direct results, and flush semantics replace native completions, callbacks, and last-version state","P07 context, completion, result, and flush tests"
C,global,rados_aio_get_version,CEPH_RADOS_API uint64_t rados_aio_get_version(rados_completion_t c);,"context.Context, operation results, and rados.Client.Flush",go-native,P07,completion of prior phases; see SPEC.md,"Go context, direct results, and flush semantics replace native completions, callbacks, and last-version state","P07 context, completion, result, and flush tests"
C,global,rados_aio_getxattr,"CEPH_RADOS_API int rados_aio_getxattr(rados_ioctx_t io, const char *o, rados_completion_t completion, const char *name, char *buf, size_t len);",rados metadata methods / operation builders,implemented,P08,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics","P08 unit and live metadata, compound, enumeration, and map-change tests"
C,global,rados_aio_getxattrs,"CEPH_RADOS_API int rados_aio_getxattrs(rados_ioctx_t io, const char *oid, rados_completion_t completion, rados_xattrs_iter_t *iter);",rados metadata methods / operation builders,implemented,P08,completion of prior phases; see SPEC.md,"Context-aware Go values, pages, and builders preserve the operation semantics","P08 unit and live metadata, compound, enumeration, and map-change tests"
C,global,rados_aio_ioctx_selfmanaged_snap_create,"CEPH_RADOS_API void rados_aio_ioctx_selfmanaged_snap_create(rados_ioctx_t io, rados_snap_t *snapid, rados_completion_t completion);",rados snapshot methods and immutable snapshot views,go-native,P10,completion of prior phases; see SPEC.md,Context-aware Go calls and Go-owned results replace native completion and buffer lifetimes,"P10 context, ownership, and live snapshot and EC tests"
C,global,rados_aio_ioctx_selfmanaged_snap_remove,"CEPH_RADOS_API void rados_aio_ioctx_selfmanaged_snap_remove(rados_ioctx_t io, rados_snap_t snapid, rados_completion_t completion);",rados snapshot methods and immutable snapshot views,go-native,P10,completion of prior phases; see SPEC.md,Context-aware Go calls and Go-owned results replace native completion and buffer lifetimes,"P10 context, ownership, and live snapshot and EC tests"
C,global,rados_aio_is_complete,CEPH_RADOS_API int rados_aio_is_complete(rados_completion_t c);,"context.Context, operation results, and rados.Client.Flush",go-native,P07,completion of prior phases; see SPEC.md,"Go context, direct results, and flush semantics replace native completions, callbacks, and last-version state","P07 context, completion, result, and flush tests"
